,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-12-25,11.39,13.4,13.75,11.0,275835,355241600.0,28.15,37.15,3.63,13.33
1,2020-12-28,12.06,12.06,12.06,12.06,36319,43800714.0,0.0,-10.0,-1.34,1.75
2,2020-12-29,11.5,10.85,13.0,10.85,584641,684530416.0,17.83,-10.03,-1.21,28.24
3,2020-12-30,9.77,9.85,10.6,9.77,496235,490750976.0,7.65,-9.22,-1.0,23.97
4,2020-12-31,9.7,9.97,10.55,9.5,409441,406427024.0,10.66,1.22,0.12,19.78
5,2021-01-04,9.82,9.65,9.88,9.54,270686,262127184.0,3.41,-3.21,-0.32,13.08
6,2021-01-05,9.57,9.15,9.7,9.04,292954,273157968.0,6.84,-5.18,-0.5,14.15
7,2021-01-06,9.14,9.26,9.41,8.84,271259,247130691.0,6.23,1.2,0.11,13.1
8,2021-01-07,9.06,8.53,9.08,8.5,215327,189442032.0,6.26,-7.88,-0.73,10.4
9,2021-01-08,8.5,8.13,8.5,8.06,174684,143269055.0,5.16,-4.69,-0.4,8.44
10,2021-01-11,8.1,7.81,8.17,7.62,206756,163036943.0,6.77,-3.94,-0.32,9.99
11,2021-01-12,7.78,7.8,7.96,7.65,140396,109904220.0,3.97,-0.13,-0.01,6.78
12,2021-01-13,7.81,7.99,8.22,7.62,192696,153173580.0,7.69,2.44,0.19,9.31
13,2021-01-14,7.87,8.2,8.44,7.71,188398,153405467.0,9.14,2.63,0.21,9.1
14,2021-01-15,8.1,8.22,8.45,8.0,172280,142500442.0,5.49,0.24,0.02,8.32
15,2021-01-18,8.1,8.13,8.3,8.05,121089,98568755.0,3.04,-1.09,-0.09,5.85
16,2021-01-19,8.2,8.16,8.5,8.11,138015,114207894.0,4.8,0.37,0.03,6.67
17,2021-01-20,8.11,7.9,8.27,7.86,158469,127341771.0,5.02,-3.19,-0.26,7.66
18,2021-01-21,7.9,7.95,8.1,7.82,129763,103295272.0,3.54,0.63,0.05,6.27
19,2021-01-22,7.86,8.75,8.75,7.86,146620,124753397.0,11.19,10.06,0.8,7.08
20,2021-01-25,8.97,8.76,9.58,8.62,429908,389844304.0,10.97,0.11,0.01,20.77
21,2021-01-26,8.44,8.94,9.24,8.26,295254,260489044.0,11.19,2.05,0.18,14.26
22,2021-01-27,8.75,8.7,8.85,8.42,193623,166816303.0,4.81,-2.68,-0.24,9.35
23,2021-01-28,8.51,8.15,8.65,8.11,172732,143848560.0,6.21,-6.32,-0.55,8.34
24,2021-01-29,8.15,7.91,8.36,7.82,122434,98371547.0,6.63,-2.94,-0.24,5.91
25,2021-02-01,7.87,8.22,8.28,7.8,132339,107157006.0,6.07,3.92,0.31,6.39
26,2021-02-02,8.17,8.0,8.21,7.95,99580,80052058.0,3.16,-2.68,-0.22,4.81
27,2021-02-03,8.03,7.7,8.06,7.66,118451,91968607.0,5.0,-3.75,-0.3,5.72
28,2021-02-04,7.62,7.33,7.71,7.19,125252,92263653.0,6.75,-4.81,-0.37,6.05
29,2021-02-05,7.34,7.4,7.44,7.23,84907,62229737.0,2.86,0.95,0.07,4.1
30,2021-02-08,7.44,7.7,8.14,7.41,200259,158870500.0,9.86,4.05,0.3,9.67
31,2021-02-09,7.54,7.6,7.76,7.31,147968,111067838.0,5.84,-1.3,-0.1,7.15
