,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,3055.133,3074.5755,2986.4486,2998.9543,-0.0146,2948.83,1287.84
1,2022-03-07,3127.4757,3127.7491,3033.2403,3043.3846,-0.037599999999999995,2940.27,1266.74
2,2022-03-04,3183.8472,3195.783,3151.025,3162.1677,-0.0176,2237.5,976.14
3,2022-03-03,3260.2738,3262.6936,3214.9056,3218.7529,-0.0086,2206.39,872.79
4,2022-03-02,3268.6382,3268.6382,3233.6497,3246.6697,-0.013600000000000001,1898.87,798.35
5,2022-03-01,3275.3841,3294.3555,3261.2878,3291.3819,0.009899999999999999,2114.63,1034.91
6,2022-02-28,3243.7622,3259.0349,3221.6399,3259.0349,0.0009,2150.09,903.08
7,2022-02-25,3251.1618,3288.6026,3249.1041,3255.9916,0.011000000000000001,2142.72,994.4
8,2022-02-24,3259.8753,3274.5172,3191.6102,3220.4533,-0.0203,2825.59,1251.15
9,2022-02-23,3260.1267,3289.0428,3251.9704,3287.2518,0.011200000000000002,2145.51,973.45
10,2022-02-22,3271.4828,3271.4828,3226.57,3250.9503,-0.0148,2096.54,974.52
11,2022-02-21,3319.7601,3319.7601,3284.3089,3299.8538,-0.0084,1767.09,764.68
12,2022-02-18,3298.3756,3328.2822,3293.342,3327.8389,0.0029,1693.96,717.8
13,2022-02-17,3305.3566,3337.6889,3298.1529,3318.1241,0.004699999999999999,1886.39,897.11
14,2022-02-16,3301.7423,3323.039,3294.5987,3302.4428,0.0052,1741.34,814.47
15,2022-02-15,3249.0661,3286.5459,3244.4426,3285.5059,0.011899999999999999,2339.1,1092.69
16,2022-02-14,3261.8099,3277.5913,3230.4077,3246.9436,-0.0091,2664.64,1157.03
17,2022-02-11,3282.2454,3322.3145,3270.03,3276.6716,-0.0069,2738.02,1301.12
18,2022-02-10,3335.5113,3335.8179,3273.6623,3299.3847,-0.0088,2581.5,1166.76
19,2022-02-09,3300.6917,3335.8101,3282.1468,3328.5122,0.0092,2368.7,1046.21
20,2022-02-08,3336.7881,3337.2789,3233.2658,3298.089,-0.0143,2295.41,1135.68
21,2022-02-07,3358.1116,3386.8916,3328.9093,3345.8074,0.0155,2210.04,1049.42
22,2022-01-28,3365.0852,3378.5893,3289.5018,3294.5783,-0.014499999999999999,2229.39,1164.03
23,2022-01-27,3411.4903,3412.4456,3340.1692,3343.1989,-0.021,2185.45,1035.65
24,2022-01-26,3407.788,3422.6281,3365.8903,3414.8258,0.0073,1696.08,868.19
25,2022-01-25,3440.8004,3456.4546,3389.3916,3390.1721,-0.021,2000.69,905.99
26,2022-01-24,3440.9432,3474.4727,3431.6567,3462.8575,0.0011,1784.25,887.71
27,2022-01-21,3468.8384,3482.5462,3439.2989,3458.9588,-0.0058,2155.7,987.98
28,2022-01-20,3425.1098,3496.7896,3425.1098,3479.1714,0.015600000000000001,2714.24,1130.55
29,2022-01-19,3452.9364,3463.4397,3405.51,3425.7717,-0.004699999999999999,2152.01,1041.2
30,2022-01-18,3412.9628,3453.333,3394.3168,3441.8729,0.0087,2121.19,960.72
31,2022-01-17,3383.3406,3419.8783,3379.7548,3412.2177,0.0098,1930.08,974.22
32,2022-01-14,3388.6294,3408.9781,3377.7336,3379.1513,-0.008100000000000001,2214.73,970.18
33,2022-01-13,3483.1433,3483.1433,3405.5124,3406.6948,-0.0191,2276.67,1106.44
34,2022-01-12,3449.3898,3479.8708,3443.5543,3473.037,0.0132,2449.12,1173.4
35,2022-01-11,3453.0444,3467.6947,3423.7921,3427.8508,-0.0077,2268.8,1044.48
36,2022-01-10,3439.4237,3463.6822,3406.2397,3454.5711,0.0019,2211.11,1098.78
37,2022-01-07,3443.6758,3469.2201,3433.9233,3447.9088,0.0037,2878.81,1206.0
38,2022-01-06,3464.8853,3476.7363,3418.0959,3435.2263,-0.0144,2510.07,1207.38
39,2022-01-05,3507.0987,3524.8078,3472.6891,3485.4642,-0.0084,2968.01,1427.22
40,2022-01-04,3560.072,3562.821,3475.9275,3515.1648,-0.008199999999999999,2448.15,1308.53
41,2021-12-31,3552.2028,3559.1095,3529.9682,3544.067,0.0024,1814.19,960.72
42,2021-12-30,3506.7912,3552.5835,3500.6781,3535.5381,0.008199999999999999,1828.44,957.79
43,2021-12-29,3578.94,3578.94,3506.6429,3506.6429,-0.0187,1868.96,1052.23
44,2021-12-28,3537.6517,3578.1461,3537.6517,3573.5691,0.011000000000000001,2090.81,1044.56
45,2021-12-27,3535.4655,3553.9699,3514.0524,3534.6713,-0.0014000000000000002,1830.29,944.91
46,2021-12-24,3569.4253,3578.0909,3525.5299,3539.7411,-0.0069,1768.91,1111.33
47,2021-12-23,3546.2518,3564.3685,3523.1835,3564.3685,0.0077,1689.07,880.19
48,2021-12-22,3545.4157,3555.5161,3525.9564,3537.1513,0.0002,1662.9,840.91
49,2021-12-21,3513.3498,3542.2733,3507.1478,3536.4937,0.0052,1885.0,978.61
50,2021-12-20,3565.0778,3589.5271,3508.4592,3518.0532,-0.0169,2172.91,1197.5
51,2021-12-17,3631.4313,3634.0434,3577.5684,3578.4861,-0.0182,2022.09,1130.73
52,2021-12-16,3627.4038,3644.7686,3609.5873,3644.7686,0.0051,2085.71,1071.37
53,2021-12-15,3652.8077,3675.5802,3625.1592,3626.1166,-0.0108,1971.25,1003.46
54,2021-12-14,3680.8063,3689.8516,3656.3251,3665.5943,-0.0077,2438.62,1113.4
55,2021-12-13,3698.2073,3747.7071,3690.9455,3694.0252,0.008199999999999999,3486.84,1672.25
56,2021-12-10,3643.242,3665.0254,3639.4236,3663.8844,-0.0022,3813.2,1335.17
57,2021-12-09,3606.2537,3699.355,3604.9811,3672.1341,0.0196,5098.48,1748.14
58,2021-12-08,3556.0852,3603.0689,3539.854,3601.5614,0.0158,2747.72,1295.59
59,2021-12-07,3550.2972,3554.8493,3527.5488,3545.3773,0.0069,3444.47,1442.74
60,2021-12-06,3523.8296,3558.7747,3518.6186,3521.1671,0.0,3160.33,1278.54
61,2021-12-03,3496.8877,3521.0828,3483.1115,3521.0828,0.0073,2279.67,1057.93
62,2021-12-02,3477.7298,3501.7473,3468.4171,3495.6447,0.0042,2342.58,949.53
63,2021-12-01,3476.5906,3484.868,3464.9175,3481.133,0.0017000000000000001,1937.08,843.71
64,2021-11-30,3506.3464,3510.3212,3461.6226,3475.3926,-0.0087,1880.6,876.72
65,2021-11-29,3478.8352,3513.3332,3478.011,3505.9791,0.0001,2004.11,982.14
66,2021-11-26,3525.0968,3527.6289,3498.5534,3505.6452,-0.0074,1877.07,843.96
67,2021-11-25,3547.9679,3552.18,3521.9342,3531.8534,-0.0051,1854.98,910.32
68,2021-11-24,3550.2806,3563.1033,3532.745,3550.0338,0.0005,2080.29,1003.92
69,2021-11-23,3547.4963,3563.7248,3538.2539,3548.2102,-0.0018,2277.5,1036.57
70,2021-11-22,3543.9647,3556.0727,3541.2305,3554.4974,0.0053,2435.85,1128.88
71,2021-11-19,3488.9642,3536.1794,3482.9527,3535.7015,0.0124,2263.88,957.77
72,2021-11-18,3525.871,3525.871,3486.3676,3492.566,-0.0123,1971.59,779.03
73,2021-11-17,3546.3158,3554.1762,3524.7088,3536.1851,-0.0017000000000000001,1858.71,793.82
74,2021-11-16,3541.271,3564.8093,3537.4696,3542.3333,0.0006,2171.99,974.3
75,2021-11-15,3553.0657,3561.3956,3519.6326,3540.1137,-0.0016,2078.73,929.4
76,2021-11-12,3574.7059,3578.1108,3536.0448,3545.8879,-0.006,2467.9,959.98
77,2021-11-11,3494.2588,3568.2441,3490.7718,3567.1813,0.022000000000000002,3547.05,1258.8
78,2021-11-10,3503.7819,3505.9848,3438.8447,3490.3583,-0.0084,2703.41,1168.27
79,2021-11-09,3538.727,3545.9857,3502.4255,3520.0111,-0.0028000000000000004,2067.29,930.33
80,2021-11-08,3532.2007,3548.7971,3517.1533,3529.8951,-0.0007000000000000001,2449.26,1063.62
81,2021-11-05,3532.6751,3563.4838,3523.3902,3532.5323,-0.0040999999999999995,2496.36,1085.25
82,2021-11-04,3529.0057,3557.1693,3519.4153,3547.0626,0.0108,2509.0,1169.59
83,2021-11-03,3532.4632,3550.6882,3497.5861,3509.3357,-0.0086,2903.9,1128.12
84,2021-11-02,3570.039,3593.3444,3511.118,3539.9397,-0.009300000000000001,3351.41,1438.04
85,2021-11-01,3560.2149,3593.99,3538.0219,3573.1178,-0.0048,3096.84,1486.6
86,2021-10-29,3542.5189,3591.0808,3542.5189,3590.2511,0.0138,3222.2,1473.73
87,2021-10-28,3545.419,3571.8525,3529.6637,3541.4588,-0.0032,2781.47,1196.4
88,2021-10-27,3579.6258,3579.6258,3540.0071,3552.9538,-0.0116,2681.35,1133.43
89,2021-10-26,3635.5345,3645.1494,3589.9629,3594.8311,-0.0079,2405.99,1102.33
90,2021-10-25,3609.4026,3627.265,3594.5999,3623.3347,-0.0006,2735.8,1197.76
91,2021-10-22,3591.5937,3642.9679,3586.7727,3625.4607,0.0143,2685.92,1160.78
92,2021-10-21,3546.1768,3583.0113,3541.5897,3574.3762,0.0087,2745.04,1054.45
93,2021-10-20,3569.4161,3585.3201,3534.6069,3543.6926,-0.0029,2305.69,1056.48
94,2021-10-19,3522.3529,3562.8701,3522.3529,3553.8948,0.0095,2247.31,1062.7
95,2021-10-18,3573.2737,3573.2737,3497.6989,3520.5387,-0.015600000000000001,2437.25,1211.27
96,2021-10-15,3524.2261,3580.5441,3514.1265,3576.3755,0.0106,2517.2,1172.64
97,2021-10-14,3564.7354,3579.3026,3530.9741,3539.0351,-0.008,1996.11,855.25
