,日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额
0,2022-03-08,2616.1894,2629.7831,2585.4624,2604.167,-0.0025,1152.12,96.61
1,2022-03-07,2625.3672,2625.3672,2589.2763,2610.6024,-0.0129,857.92,87.11
2,2022-03-04,2633.7386,2650.0394,2623.205,2644.8284,-0.0034000000000000002,678.26,68.95
3,2022-03-03,2632.7591,2661.1756,2631.5822,2653.8299,0.009899999999999999,638.2,62.99
4,2022-03-02,2653.77,2657.0527,2618.2671,2627.7057,-0.0139,730.11,74.97
5,2022-03-01,2676.3757,2680.3603,2648.9843,2664.6406,-0.0031,805.32,73.23
6,2022-02-28,2672.6505,2678.2326,2636.9587,2673.0293,0.0028000000000000004,1195.87,116.66
7,2022-02-25,2683.2444,2686.3298,2659.805,2665.5296,-0.0098,1041.04,96.29
8,2022-02-24,2715.9046,2724.7071,2674.8959,2691.801,-0.0165,1002.55,91.07
9,2022-02-23,2757.3786,2757.3786,2722.4923,2736.9931,-0.0032,550.34,63.02
10,2022-02-22,2771.8591,2773.7035,2734.0911,2745.7598,-0.018799999999999997,795.45,77.85
11,2022-02-21,2789.6595,2800.4226,2766.494,2798.4426,0.0007000000000000001,575.93,48.87
12,2022-02-18,2787.4766,2804.6767,2777.9441,2796.5042,-0.0003,661.11,60.59
13,2022-02-17,2796.9366,2806.5373,2782.3942,2797.3264,0.0017000000000000001,673.75,58.3
14,2022-02-16,2783.746,2798.9507,2775.9661,2792.4548,0.005699999999999999,726.51,63.61
15,2022-02-15,2803.7843,2804.7036,2760.2167,2776.5417,-0.0123,1024.83,90.8
16,2022-02-14,2828.7621,2829.6318,2805.1571,2810.9793,-0.0086,648.74,61.67
17,2022-02-11,2820.6278,2835.4638,2810.5058,2835.4638,0.004699999999999999,987.89,98.59
18,2022-02-10,2819.2459,2822.1372,2799.1372,2822.1372,0.004699999999999999,842.35,79.95
19,2022-02-09,2804.6419,2811.3033,2798.1228,2808.9528,0.0072,967.09,92.61
20,2022-02-08,2779.9242,2796.85,2773.1133,2788.9727,0.004699999999999999,811.26,84.0
21,2022-02-07,2754.4592,2776.0481,2746.8918,2776.0481,0.0088,972.12,83.29
22,2022-02-04,2729.0504,2754.8624,2709.5902,2751.8642,0.0176,670.46,79.97
23,2022-01-31,2705.7613,2718.6918,2683.813,2704.2206,-0.0005,470.6,47.1
24,2022-01-28,2721.6242,2727.271,2703.4644,2705.6664,-0.0052,688.42,73.93
25,2022-01-27,2712.5171,2719.9035,2697.6354,2719.9035,-0.0031,591.78,59.02
26,2022-01-26,2728.8264,2730.1206,2716.79,2728.4666,0.0025,843.11,71.3
27,2022-01-25,2716.6624,2725.7628,2701.931,2721.6995,-0.0076,859.79,80.94
28,2022-01-24,2729.1043,2746.2332,2724.6196,2742.4503,0.0028000000000000004,724.18,63.39
29,2022-01-21,2721.6035,2734.7416,2715.271,2734.7416,0.0062,721.7,75.2
30,2022-01-20,2719.9893,2720.5923,2698.7094,2717.9882,0.0036,908.79,76.99
31,2022-01-19,2701.9552,2711.0868,2696.4912,2708.1699,0.0028000000000000004,681.74,66.08
32,2022-01-18,2691.6798,2704.7664,2686.7243,2700.6397,0.0023,625.71,52.93
33,2022-01-17,2700.9445,2702.954,2685.8125,2694.4971,-0.0031,569.28,47.49
34,2022-01-14,2700.7011,2707.4482,2692.1102,2702.8622,0.0005,768.47,67.83
35,2022-01-13,2680.5119,2701.4062,2677.9779,2701.4062,0.0092,849.2,72.71
36,2022-01-12,2684.9493,2685.4388,2662.9229,2676.9114,-0.0018,931.71,77.43
37,2022-01-11,2661.9777,2690.6536,2658.3452,2681.8206,0.0053,1087.8,89.93
38,2022-01-10,2641.7974,2672.0367,2634.5209,2667.6763,0.013000000000000001,1140.27,86.26
39,2022-01-07,2608.8777,2634.4572,2600.2896,2633.4956,0.0069,960.94,76.24
40,2022-01-06,2630.9111,2630.9111,2596.5012,2615.556,-0.006,818.18,64.84
41,2022-01-05,2617.2106,2640.4965,2612.917,2631.4463,0.0106,1137.89,89.78
42,2022-01-04,2593.8321,2609.3738,2591.4161,2603.913,0.0039000000000000003,790.85,56.93
43,2022-01-03,2587.3885,2599.6486,2584.226,2593.8321,0.0077,302.52,28.54
44,2021-12-31,2584.8457,2595.2807,2573.9166,2573.9166,-0.0033,298.77,25.35
45,2021-12-30,2590.5498,2593.1797,2576.9421,2582.4326,-0.0017000000000000001,438.08,35.79
46,2021-12-29,2593.0039,2593.0039,2578.4866,2586.7976,0.0005,294.43,29.15
47,2021-12-28,2561.4915,2586.5457,2559.6277,2585.5787,0.0115,811.15,65.34
48,2021-12-24,2552.9672,2559.364,2549.1391,2556.2274,0.0043,383.11,25.2
49,2021-12-23,2530.2359,2551.5155,2528.2464,2545.3334,0.008199999999999999,782.2,56.4
50,2021-12-22,2518.958,2528.9524,2513.4517,2524.5769,0.0026,641.96,45.12
51,2021-12-21,2528.7669,2541.2307,2517.6443,2517.9531,0.0014000000000000002,780.27,58.98
52,2021-12-20,2519.9635,2527.2506,2509.5077,2514.5345,-0.006,717.04,60.38
53,2021-12-17,2523.9157,2538.3382,2518.1618,2529.7381,0.0025,1189.21,92.65
54,2021-12-16,2514.7648,2530.2639,2508.1236,2523.5337,-0.0008,817.16,70.47
55,2021-12-15,2521.4862,2531.3129,2505.7904,2525.5454,0.0029,807.57,60.43
56,2021-12-14,2521.8165,2527.7341,2509.1469,2518.2286,-0.004699999999999999,826.66,60.98
57,2021-12-13,2547.7528,2554.4823,2527.2455,2530.2172,-0.002,878.4,71.09
58,2021-12-10,2549.1016,2562.224,2526.8032,2535.2345,-0.0098,950.94,68.36
59,2021-12-09,2524.0406,2563.8744,2522.2516,2560.3041,0.015700000000000002,1192.56,89.37
60,2021-12-08,2511.5341,2521.3826,2497.864,2520.7671,0.0055000000000000005,1303.82,91.3
61,2021-12-07,2501.767,2515.7394,2490.4753,2506.9953,0.0076,1220.12,93.04
62,2021-12-06,2501.7955,2524.8366,2484.7748,2487.999,-0.0068000000000000005,1549.26,108.71
63,2021-12-03,2484.5863,2521.5519,2468.3335,2505.1359,0.009000000000000001,1989.51,136.86
64,2021-12-02,2459.0943,2494.1326,2454.6461,2482.7606,-0.0024,3410.56,177.37
65,2021-12-01,2460.6649,2504.5437,2457.635,2488.6901,0.0113,1327.65,99.63
66,2021-11-30,2482.7732,2493.0004,2444.1105,2460.8052,-0.008100000000000001,2538.57,178.37
67,2021-11-29,2456.9396,2482.2681,2439.0829,2481.0031,0.0086,899.91,75.96
68,2021-11-26,2503.0435,2503.0435,2455.7193,2459.8483,-0.018600000000000002,907.82,82.29
69,2021-11-25,2500.7952,2507.9623,2492.4305,2506.5783,0.0027,633.17,53.67
70,2021-11-24,2473.6789,2499.7421,2471.4979,2499.7421,0.0105,717.85,60.26
71,2021-11-23,2451.4191,2481.6367,2444.3624,2473.7149,0.006999999999999999,824.21,62.97
72,2021-11-22,2472.9,2477.6832,2454.8239,2456.4809,-0.0062,668.98,52.81
73,2021-11-19,2450.3159,2476.3596,2445.2364,2471.8129,0.0064,874.88,67.88
74,2021-11-18,2462.9708,2463.566,2443.5712,2456.1581,-0.0059,724.94,61.18
75,2021-11-17,2471.1702,2475.6622,2458.7349,2470.787,-0.001,655.92,52.93
76,2021-11-16,2471.4495,2476.6918,2462.2095,2473.3104,0.0016,801.79,60.3
77,2021-11-15,2503.9675,2503.9675,2457.4109,2469.402,-0.0134,730.44,54.96
78,2021-11-12,2529.8177,2530.9561,2488.6422,2503.038,-0.005600000000000001,860.61,80.42
79,2021-11-11,2490.6836,2519.8021,2487.951,2517.2052,0.0108,1166.07,99.6
80,2021-11-10,2489.4281,2496.5476,2454.6866,2490.2604,0.0011,979.35,79.82
81,2021-11-09,2482.92,2494.4425,2463.4766,2487.5561,0.0019,703.51,52.58
82,2021-11-08,2465.2023,2497.0641,2460.7288,2482.92,0.008199999999999999,941.75,75.49
83,2021-11-05,2487.259,2489.6464,2452.9776,2462.743,-0.0104,1140.32,80.69
84,2021-11-04,2501.621,2501.621,2480.0723,2488.7126,-0.0029,957.09,75.38
85,2021-11-03,2492.2158,2505.6674,2483.0243,2495.9244,0.0022,776.02,61.71
86,2021-11-02,2525.5581,2531.6487,2476.7781,2490.498,-0.0098,1115.21,76.78
87,2021-11-01,2514.3714,2518.8068,2497.7505,2515.1142,-0.0008,934.73,73.97
88,2021-10-29,2514.8453,2520.0225,2501.8592,2517.0392,0.0008,1229.89,108.34
89,2021-10-28,2533.4615,2539.2464,2506.7198,2514.9454,-0.005699999999999999,1191.29,100.56
90,2021-10-27,2517.4554,2531.2389,2509.3856,2529.3633,0.0024,1000.66,78.19
91,2021-10-26,2548.9499,2552.0531,2516.0438,2523.2544,-0.0104,841.6,66.5
92,2021-10-25,2553.0984,2573.3037,2540.5365,2549.726,-0.0039000000000000003,863.24,68.29
93,2021-10-22,2549.8579,2565.2469,2549.5655,2559.7699,0.006500000000000001,896.4,82.71
94,2021-10-21,2537.6663,2556.1604,2529.584,2543.1288,0.0048,1295.33,124.38
95,2021-10-20,2542.4026,2544.229,2522.1387,2530.9284,-0.003,941.16,77.77
96,2021-10-19,2518.1223,2548.415,2518.1223,2538.4903,0.008199999999999999,980.13,78.49
97,2021-10-18,2537.6235,2537.6235,2504.6482,2517.7976,-0.01,996.84,80.15
98,2021-10-15,2555.964,2555.964,2510.9566,2543.3238,-0.0011,1343.12,118.37
99,2021-10-12,2540.6183,2561.0157,2528.796,2546.1962,0.0006,1060.65,89.0
100,2021-10-11,2600.9138,2604.0697,2542.5841,2544.7927,-0.012,1302.85,106.57
101,2021-10-08,2618.7469,2618.7469,2563.45,2575.6462,-0.0144,1399.71,116.43
102,2021-10-07,2598.5523,2619.0363,2598.2477,2613.1744,0.0116,1042.29,97.22
103,2021-10-06,2573.039,2590.278,2543.7999,2583.1155,0.0074,845.71,81.99
104,2021-10-05,2560.7816,2571.6489,2541.5574,2564.2258,-0.003,808.41,79.38
105,2021-10-04,2574.8844,2576.973,2543.1348,2571.9107,-0.006500000000000001,933.52,79.17
106,2021-09-30,2560.3476,2588.7205,2554.3175,2588.7205,0.0103,965.74,90.69
107,2021-09-29,2571.77,2584.8708,2555.282,2562.2404,-0.0051,1264.25,104.32
108,2021-09-28,2528.5961,2588.4496,2520.4432,2575.3022,0.02,1345.61,110.2
109,2021-09-27,2540.7293,2565.8765,2513.5626,2524.8299,-0.0036,1261.67,104.68
110,2021-09-24,2577.093,2577.2814,2529.7934,2533.9025,-0.011899999999999999,1335.42,118.29
111,2021-09-23,2529.4613,2583.1982,2529.4613,2564.454,0.0349,1852.02,149.57
112,2021-09-21,2443.2173,2481.7111,2429.1257,2477.8701,0.0138,1259.11,143.36
113,2021-09-20,2552.581,2552.581,2434.1683,2444.2345,-0.0482,2011.24,174.02
114,2021-09-17,2579.271,2585.815,2543.3938,2568.0056,-0.0059,1916.63,197.89
115,2021-09-16,2639.346,2641.4514,2566.485,2583.3077,-0.0229,1381.5,115.15
116,2021-09-15,2668.3085,2669.7419,2640.1839,2643.8921,-0.0088,1155.97,101.08
117,2021-09-14,2709.2376,2714.273,2657.5216,2667.2664,-0.0155,1375.76,107.74
118,2021-09-13,2681.1475,2709.3189,2676.6212,2709.3189,0.0075,1401.6,97.33
119,2021-09-10,2668.5432,2691.8784,2664.4759,2689.0395,0.0078000000000000005,1408.53,107.29
120,2021-09-09,2660.1509,2673.2905,2644.4137,2668.1007,0.0013,1376.97,111.52
121,2021-09-08,2664.1831,2681.0048,2657.4144,2664.6482,0.0001,1274.95,92.33
122,2021-09-07,2666.2093,2668.9898,2654.9041,2664.3422,0.0,1267.21,95.19
123,2021-09-06,2675.8899,2691.0102,2656.0876,2664.2363,-0.0033,1507.43,117.94
124,2021-09-03,2655.7411,2682.4445,2655.3183,2673.1366,0.0064,1716.84,140.96
125,2021-09-02,2641.4345,2656.1473,2641.4345,2656.1473,0.008,1237.59,118.87
126,2021-09-01,2617.4351,2650.2528,2617.4351,2635.0131,0.0069,1255.89,119.48
127,2021-08-31,2603.7712,2616.977,2583.2147,2616.977,0.0049,1555.1,164.3
128,2021-08-30,2586.9148,2606.5492,2580.3083,2604.1493,0.0053,952.55,76.38
129,2021-08-27,2601.7234,2604.0549,2585.418,2590.5097,-0.0044,732.54,69.12
130,2021-08-26,2619.5605,2623.1435,2593.0308,2602.0762,-0.0040999999999999995,815.94,70.68
131,2021-08-25,2587.8575,2612.8597,2587.5721,2612.8597,0.0102,976.45,73.23
132,2021-08-24,2584.4544,2591.4064,2575.9367,2586.3533,0.0036,1105.49,86.41
133,2021-08-23,2553.1768,2583.2314,2551.7812,2577.0916,0.0143,1342.83,94.5
134,2021-08-20,2569.9921,2574.0502,2524.3546,2540.6583,-0.0097,1116.23,95.51
135,2021-08-19,2584.5559,2584.5559,2554.5849,2565.6322,-0.0085,947.65,89.46
136,2021-08-18,2563.7697,2588.2022,2563.6057,2587.6793,0.012,773.1,73.15
137,2021-08-17,2586.0633,2591.8371,2549.8182,2557.0325,-0.0103,1111.84,92.49
138,2021-08-16,2573.5071,2591.5487,2564.8895,2583.5339,0.0053,807.21,76.44
139,2021-08-13,2569.8597,2579.1562,2561.6583,2569.8955,-0.0019,637.45,59.65
140,2021-08-12,2579.1492,2582.4512,2566.3557,2574.7883,-0.0018,766.62,64.68
141,2021-08-11,2551.7303,2583.0127,2549.9146,2579.5308,0.011399999999999999,1335.55,95.92
142,2021-08-10,2554.2928,2555.2074,2527.241,2550.5742,0.0012,827.2,78.08
143,2021-08-09,2526.3054,2554.6446,2525.5727,2547.539,0.009399999999999999,856.29,74.78
144,2021-08-06,2526.3089,2528.6691,2515.0141,2523.7065,-0.0014000000000000002,714.87,63.81
145,2021-08-05,2542.3732,2542.3732,2524.7726,2527.3626,-0.0063,745.28,68.79
146,2021-08-04,2549.1089,2559.1273,2538.337,2543.3828,-0.0022,713.72,76.92
147,2021-08-03,2540.1883,2548.9603,2512.2966,2548.9603,0.0052,978.09,90.02
148,2021-08-02,2491.5023,2535.871,2481.0725,2535.871,0.018799999999999997,873.99,79.44
149,2021-07-30,2495.7144,2510.2745,2480.0001,2489.1715,-0.0063,1280.02,111.12
150,2021-07-29,2503.4137,2517.7231,2498.2767,2504.964,0.0037,1482.66,124.22
151,2021-07-28,2500.6367,2508.6764,2482.8062,2495.6305,0.0028000000000000004,1509.98,135.6
152,2021-07-27,2536.39,2557.5753,2471.3807,2488.7796,-0.0175,2039.18,168.6
153,2021-07-26,2564.6027,2570.7387,2530.1735,2533.1371,-0.014499999999999999,1147.4,111.44
154,2021-07-23,2573.7102,2578.7492,2566.4775,2570.4778,-0.0011,530.7,50.95
155,2021-07-22,2551.5133,2576.9989,2551.5133,2573.2584,0.0105,763.78,68.94
156,2021-07-21,2549.6452,2562.7725,2534.0299,2546.5301,0.0002,742.09,63.82
157,2021-07-20,2564.9426,2567.9155,2531.708,2546.0295,-0.0091,931.09,75.08
158,2021-07-19,2590.4667,2591.3947,2560.9039,2569.3479,-0.0083,815.34,71.39
159,2021-07-16,2589.5439,2594.0746,2579.4037,2590.7726,0.002,880.47,81.67
160,2021-07-15,2569.7519,2596.1396,2569.1583,2585.5773,0.0088,1134.69,104.23
161,2021-07-14,2582.7878,2582.7878,2555.9196,2562.9316,-0.0077,980.73,92.35
162,2021-07-13,2571.8229,2585.8363,2567.0988,2582.8636,0.006999999999999999,919.27,77.79
163,2021-07-12,2576.8863,2586.5037,2553.9376,2564.9516,0.0032,969.69,82.73
164,2021-07-09,2572.0452,2576.2746,2554.3527,2556.8151,-0.0059,1091.29,106.85
165,2021-07-08,2614.6521,2616.2713,2570.1569,2572.0452,-0.016399999999999998,1218.67,111.5
166,2021-07-07,2619.7787,2627.0576,2601.4756,2615.0128,-0.0161,967.01,82.75
167,2021-07-06,2658.1467,2667.9813,2653.1822,2657.8851,-0.0004,807.18,78.74
168,2021-07-05,2643.4875,2671.3607,2643.4875,2658.8601,0.0032,849.65,83.28
169,2021-07-02,2664.5105,2665.0715,2644.7465,2650.2717,-0.004699999999999999,1209.46,115.48
170,2021-06-30,2670.2915,2678.6948,2662.7781,2662.7781,-0.004699999999999999,985.03,91.23
171,2021-06-29,2702.7412,2704.3151,2672.9454,2675.2867,-0.0104,1159.28,113.09
172,2021-06-28,2713.9806,2719.751,2698.5224,2703.4475,-0.0105,838.84,71.52
173,2021-06-25,2719.147,2733.9499,2718.8658,2732.194,0.0046,974.94,87.46
174,2021-06-24,2718.797,2732.3014,2714.9141,2719.7297,-0.0015,770.96,70.98
175,2021-06-23,2704.0476,2731.0959,2699.0533,2723.7446,0.0087,948.22,99.21
